ANI指向值,,ATK指向值,
,[etc motion],,[etc attack info]
0,`Animation/UpperCut.ani`,0,`AttackInfo/UpperCut.atk`
1,`Animation/UpperCutReady.ani`,1,`AttackInfo/DashSwingCut.atk`
2,`Animation/DashSwingCut.ani`,2,`AttackInfo/FlashCut.atk`
3,`Animation/FlashCut.ani`,3,`AttackInfo/FlyingKickTry.atk`
4,`Animation/FlyingKickTry.ani`,4,`AttackInfo/FlyingKickLoop.atk`
5,`Animation/FlyingKickLoop1.ani`,5,`AttackInfo/FlyingKickFinish.atk`
6,`Animation/FlyingKickLoop2.ani`,6,`AttackInfo/FlameCut.atk`
7,`Animation/FlyingKickFinish.ani`,7,`AttackInfo/FlyingSquirrelTry.atk`
8,`Animation/BackJump.ani`,8,`AttackInfo/CutAndGrabBackHit.atk`
9,`Animation/FlameCut.ani`,9,`AttackInfo/CutNeckTry.atk`
10,`Animation/FlyingSquirrelTry.ani`,10,`AttackInfo/CutNeckPoke.atk`
11,`Animation/FlyingSquirrelHit.ani`,11,`AttackInfo/CutNeckCut.atk`
12,`Animation/CutAndGrabBackHit.ani`,12,`AttackInfo/UpperCutLB.atk`
13,`Animation/CutAndGrabBackMove.ani`,13,`AttackInfo/SlantCut.atk`
14,`Animation/CutNeckTry.ani`,14,`AttackInfo/SlantCutLBKick.atk`
15,`Animation/CutNeckMove.ani`,15,`AttackInfo/SlantCutLBSwing.atk`
16,`Animation/CutNeckPoke1.ani`,16,`AttackInfo/RorentoCut12.atk`
17,`Animation/CutNeckPoke2.ani`,17,`AttackInfo/RorentoCut3.atk`
18,`Animation/CutNeckCut.ani`,18,`AttackInfo/InazmaKickTry.atk`
19,`Animation/FlyingSquirrelTryLand.ani`,19,`AttackInfo/InazmaKickHit.atk`
20,`Animation/CutNeckMoveIllusion.ani`,20,`AttackInfo/InazmaKickKick.atk`
21,`Animation/UpperCutLB.ani`,21,`AttackInfo/ExcelStrikeStart.atk`
22,`Animation/SlantCut.ani`,22,`AttackInfo/ExcelStrikeDash.atk`
23,`Animation/SlantCutLBKick.ani`,23,`AttackInfo/ExcelStrikeHit.atk`
24,`Animation/SlantCutLBSwing.ani`,24,`AttackInfo/ExcelStrikeHitNoDownOnly.atk`
25,`Animation/SkillDash.ani`,25,`AttackInfo/SilverStreamAttack1234.atk`
26,`Animation/RorentoCut1.ani`,26,`AttackInfo/SilverStreamFinish.atk`
27,`Animation/RorentoCut2.ani`,27,`AttackInfo/AnkleCut.atk`
28,`Animation/RorentoCut3.ani`,28,`AttackInfo/DoublePierce1.atk`
29,`Animation/FlashCutUp.ani`,29,`AttackInfo/DoublePierce2.atk`
