物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
测试·星辰之光,equipment,0,1,0,80,80,aurora avatar,,all,否,,装备测试文件夹\test_aura_001.equ
测试·拔刀斩专精剑,equipment,5,50,250000,680,620,weapon,sword,"swordman, demonic swordman",是,[拔刀斩]攻击力 +50%% | [拔刀斩]冷却时间 -30%% | [拔刀斩]MP消耗量 -25%% | [拔刀斩]施法速度 +20%% | 攻击速度 +10%%,装备测试文件夹\test_batou_sword_001.equ
测试·守护者战甲,equipment,3,40,85000,0,0,coat,,all,否,,装备测试文件夹\test_coat_001.equ
测试·神圣之光十字架,equipment,4,45,135000,380,620,weapon,blunt weapon,priest,是,[圣光球]攻击力 +30%% | [圣光球]冷却时间 -20%% | [圣光球]MP消耗量 -15%% | [圣光球]施法速度 +25%% | 魔法攻击力 +8%% |  | <神圣守护特效> | 攻击时有概率触发神圣光束、缓慢、诅咒效果 | 暴击时释放光明爆炸，对所有敌人造成伤害 | 使用技能时为队友回复HP | 危机时刻自动获得防御和MP回复 |  | <随机神迹> | 每10秒为队友提供全元素抗性 | 随机释放神圣审判攻击所有敌人 | 升级时获得技能等级提升 | 通关时获得经验加成 | BOSS战时队友获得魔法攻击力加成 |  | <套装效果：神圣守护套装> | 2件套：全元素抗性 +25 | 3件套：魔法攻击力 +150 | 4件套：施法速度 +20%% | 5件套：全技能等级 +2 |  | <特殊属性> | 对不死族伤害 +30%% | 对恶魔伤害 +25%% | 对BOSS伤害 +15%%,装备测试文件夹\test_cross_001.equ
测试·龙鳞项链,equipment,5,48,180000,25,28,necklace,,all,否,,装备测试文件夹\test_necklace_001.equ
测试·奥术师长袍,equipment,4,43,95000,0,42,coat,,"mage, creator mage",否,,装备测试文件夹\test_robe_001.equ
测试·烈焰之剑,equipment,4,45,125000,520,480,weapon,sword,"swordman, demonic swordman",是,[拔刀斩]攻击力 +25%% | [拔刀斩]冷却时间 -15%% | [拔刀斩]MP消耗量 -10%%,装备测试文件夹\test_sword_001.equ
测试·雷鸣念气图腾,equipment,4,48,145000,580,520,weapon,blunt weapon,priest,是,[念气波]攻击力 +35%% | [念气波]冷却时间 -25%% | [念气波]MP消耗量 -20%% | [狮子吼]攻击力 +40%% | [狮子吼]冷却时间 -30%% | 物理攻击力 +6%% |  | <雷鸣战神特效> | 攻击时有概率触发雷电链、眩晕、燃烧、冰冻效果 | 暴击时获得攻击速度加成 | 连击10次以上释放雷暴攻击所有敌人 | 击杀敌人时获得MP回复 |  | <战神之力> | 每8秒获得物理攻击力加成 | 随机释放雷击攻击所有敌人 | 进入房间时队友获得移动速度加成 | 雷雨天气时获得全元素攻击力加成 |  | <套装效果：雷鸣战神套装> | 2件套：物理攻击力 +120 | 3件套：攻击速度 +25%% | 4件套：物理暴击 +15%% | 5件套：全技能等级 +2 |  | <特殊属性> | 对野兽伤害 +35%% | 对机械伤害 +30%% | 对BOSS伤害 +20%%,装备测试文件夹\test_totem_001.equ
精 · 加持的禁锢之限手镯 : [湮灭黑洞],equipment,5,70,0,44,20,wrist,,all,是,[湮灭黑洞]范围 +3%%,DNF文件知识库\格式规范工具\test_brac_2choro994.equ
"""测试装备""",equipment,0,0,0,10,150,,,,否,,DNF文件知识库\格式规范工具\test_sample.equ
通用武器,equipment,2,45,85000,0,0,weapon,,"swordman, demonic swordman",是,一把通用的武器，适合各种战斗场合。,DNF文件知识库\格式规范工具\通用武器_标准格式.equ
希望之洗礼,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\101590310.equ
无形法则,equipment,0,1,0,130,130,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\101590560.equ
炼狱的火焰,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\101590561.equ
神龙光环,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%%,DNF文件知识库\参考资料\标准格式样板\武器\1\202102142.equ
燃烧之火,equipment,0,1,0,150,150,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\202204550.equ
大地雪花,equipment,0,1,0,150,150,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\202204551.equ
精炼的光迹气息,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\302392817.equ
暗之恶魔 : 艾森光环属性待定,equipment,0,1,0,80,80,aurora avatar,,all,否,最终伤害 +5%%,DNF文件知识库\参考资料\标准格式样板\武器\1\400590004.equ
湛蓝幻游之星,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590001.equ
翠绿幻游之星,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590002.equ
11周年纪念光环装扮,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590003.equ
朱红之星河,equipment,0,1,0,30,30,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590004.equ
湛蓝之星河,equipment,0,1,0,30,30,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590005.equ
荧紫之星河,equipment,0,1,0,30,30,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590006.equ
星恋双鱼 (心悦 3),equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590009.equ
皎玉之息,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590013.equ
月满人间,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590016.equ
卢克 : 光之光环,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590017.equ
无敌之境,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590018.equ
超神之境,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590019.equ
安徒恩光环,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590020.equ
独自甜蜜光环,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590022.equ
卢克 : 暗之光环,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590023.equ
光之恶魔 : 欧格里光环属性待定,equipment,0,1,0,80,80,aurora avatar,,all,否,最终伤害 +5%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590024.equ
